,id,duration_ms,key,liveness,mode,explicit
177,1cKHdTo9u0ZymJdPGSh6nq,241067,10,0.163,1,False
178,3HqcNJdZ2seoGxhn0wVNDK,207627,1,0.11,1,False
179,3yfqSUWxFvZELEM4PmlwIR,284200,5,0.0454,0,True
180,4P9Q0GojKVXpRTJCaL3kyy,221407,2,0.126,1,False
181,0cqRj7pUJDkTCEsJkx8snD,219200,7,0.334,1,False
182,2ksyzVfU0WJoBpu8otr4pz,142839,7,0.122,0,True
183,4h4QlmocP3IuwYEj2j14p8,163026,10,0.15,1,False
184,4woTEX1wYOTGDqNXuavlRC,350320,4,0.295,0,True
185,70t7Q6AYG6ZgTYmJWcnkUM,183853,4,0.084,0,False
186,1JSTJqkT5qHq8MDJnJbRE1,253920,1,0.0714,1,False
187,0nrRP2bk19rLc0orkWPQk2,247427,2,0.161,1,False
188,3hxIUxnT27p5WcmjGUXNwx,164571,9,0.103,0,False
189,1dGr1c8CrMLDpV6mPbImSI,221307,7,0.118,1,False
190,5qaEfEh1AtSdrdrByCP7qR,177507,3,0.269,1,False
191,3xWGA8pa0IKFI7IMPri4P0,207853,2,0.0424,1,False
192,1DxEbt6OSbrkRthk6pjZue,161452,6,0.184,0,False
193,0otRX6Z89qKkHkQ9OqJpKt,248373,9,0.107,1,False
194,3tiJUOfAEqIrLFRQgGgdoY,163788,11,0.276,1,False
195,3r8RuvgbX9s7ammBn07D3W,185507,6,0.0993,0,False
196,5uCax9HTNlzGybIStD3vDh,211467,10,0.0902,1,False
197,1zi7xx7UVEFkmKfv06H8x0,173987,1,0.329,1,False
198,5W4kiM2cUYBJXKRudNyxjW,157478,9,0.602,1,False
199,3hRV0jL3vUpRrcy398teAU,208212,2,0.639,1,False
200,3PH1nUysW7ybo3Yu8sqlPN,168840,6,0.906,1,False
201,51pxwIxDVCbFHW8oyJFQXD,178812,6,0.803,1,False
202,17js0w8GTkTUFGFM6PYvBd,166821,4,0.0564,0,True
203,3mzbab4H0iZYkHggSEj0UX,159158,2,0.803,1,False
204,23Lyy7ZXRvzfgH4JtDkKrX,194019,0,0.234,1,False
205,53PpijFATt35Zxfl6LTxoK,166775,6,0.297,1,False
206,53tfEupEzQRtVFOeZvk7xq,156788,7,0.0632,1,True
207,4NoOME4Dhf4xgxbHDT7VGe,200120,1,0.104,0,True
208,7ef4DlsgrMEH11cDZd32M6,214847,9,0.0814,0,False
209,1Fuc3pBiPFxAeSJoO8tDh5,162795,3,0.124,0,False
210,0Ymjv0OJeIIPXr6s9wi3iW,88304,1,0.272,1,True
211,55ZATsjPlTeSTNJOuW90pW,265000,2,0.0986,1,True
212,0redQHBfejmPUhonR5ppGC,156942,5,0.689,0,False
213,4muwDurKeVOB1WBjTVRWlD,160203,6,0.112,0,True
214,1fXnu2HzxbDtoyvFPWG3Bw,218489,11,0.161,1,True
215,1DIXPcTDzTj8ZMHt3PDt8p,240693,8,0.398,1,False
216,1wtOxkiel43cVs0Yux5Q4h,256124,9,0.117,1,True
217,6pPWRBubXOBAHnjl5ZIujB,329800,0,0.119,1,False
218,6tAKikIvnoWfUeZrfkopLL,146087,11,0.237,0,True
219,0gWrMbx6pbdH3n3nsLjE55,147819,9,0.279,1,True
220,3ErsOxqe2RmXkR65wkygDz,230240,1,0.151,1,False
221,4D7BCuvgdJlYvlX5WlN54t,194207,2,0.125,1,False
222,6KlqjCLNImX7W9zYt2Xa7D,253739,10,0.104,1,True
223,1v7L65Lzy0j0vdpRjJewt1,322227,2,0.342,1,True
224,1qEmFfgcLObUfQm0j1W2CK,177955,10,0.106,1,False
225,6gJdDnF2TzfA1WPMXuCa3x,327400,2,0.111,1,False
226,50XXRUFNjs85P0MjCZ1c9X,255187,8,0.115,0,False
227,6unndO70DvZfnXYcYQMyQJ,160166,5,0.38,1,False
228,0z3Voyxi0FH0SQBc7c4wri,288987,6,0.226,0,False
229,14LdhxElpZS0rKVV4nxtdA,147980,4,0.328,0,False
230,60a0Rd6pjrkxjPbaKzXjfq,216880,3,0.209,0,False
231,086myS9r57YsLbJpU0TgK9,161124,2,0.104,1,False
232,3xKsf9qdS1CyvXSMEid6g8,184516,9,0.417,1,False
233,3gdPwk2wyOXNRnTA1KXnEr,210880,3,0.0951,1,False
